loan_amnt,funded_amnt,funded_amnt_inv,term,home_ownership,issue_d
20000,20000,19375,36 months,MORTGAGE,Nov-2011
20000,20000,20000,36 months,RENT,Nov-2011
3500,3500,3500,36 months,MORTGAGE,Nov-2011
5000,5000,5000,36 months,OWN,Nov-2011
1300,1300,1300,36 months,RENT,Dec-2011
7500,7500,7500,36 months,RENT,Nov-2011
7800,7800,7800,36 months,MORTGAGE,Nov-2011
6925,6925,6925,36 months,RENT,Nov-2011
12800,12800,12800,36 months,OWN,Nov-2011
15000,15000,15000,36 months,RENT,Nov-2011
8000,8000,8000,36 months,MORTGAGE,Nov-2011
5375,5375,5375,36 months,RENT,Nov-2011
2500,2500,2500,36 months,RENT,Nov-2011
17625,17625,17625,36 months,RENT,Nov-2011
6000,6000,6000,36 months,MORTGAGE,Nov-2011
7100,7100,7100,36 months,OWN,Nov-2011
20000,20000,19950,60 months,RENT,Dec-2011
2800,2800,2800,36 months,MORTGAGE,Dec-2011
14000,14000,14000,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Nov-2011
6625,6625,6625,36 months,RENT,Nov-2011
14675,14675,14675,36 months,MORTGAGE,Nov-2011
15000,15000,15000,36 months,RENT,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
13000,13000,13000,36 months,RENT,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
11550,11550,11550,36 months,RENT,Nov-2011
6000,6000,6000,36 months,OWN,Nov-2011
35000,35000,34900.56962252846,60 months,MORTGAGE,Dec-2011
9000,9000,9000,36 months,RENT,Nov-2011
12000,12000,12000,60 months,RENT,Dec-2011
28000,28000,27975,36 months,MORTGAGE,Nov-2011
17400,17400,17400,60 months,MORTGAGE,Dec-2011
13000,13000,12975,36 months,MORTGAGE,Nov-2011
14000,14000,14000,60 months,OWN,Dec-2011
17000,17000,16975,36 months,RENT,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
20000,20000,20000,36 months,RENT,Nov-2011
1100,1100,1100,36 months,MORTGAGE,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
7000,7000,7000,36 months,RENT,Nov-2011
14000,14000,14000,36 months,MORTGAGE,Nov-2011
5000,5000,5000,36 months,MORTGAGE,Nov-2011
8500,8500,8500,36 months,MORTGAGE,Nov-2011
19750,19750,19725,60 months,MORTGAGE,Dec-2011
21000,21000,21000,36 months,MORTGAGE,Dec-2011
15000,15000,15000,60 months,OWN,Dec-2011
12000,12000,12000,36 months,RENT,Nov-2011
9000,9000,9000,36 months,MORTGAGE,Nov-2011
18000,18000,18000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Dec-2011
7000,7000,6973.193955067302,36 months,MORTGAGE,Nov-2011
8000,8000,8000,36 months,RENT,Nov-2011
26000,26000,25950,60 months,RENT,Dec-2011
28000,28000,27750,60 months,RENT,Dec-2011
35000,35000,34972.059823287836,60 months,RENT,Dec-2011
5500,5500,5500,60 months,RENT,Nov-2011
14400,14400,14400,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Nov-2011
28000,28000,28000,36 months,OWN,Nov-2011
5000,5000,4750,36 months,OWN,Nov-2011
20000,20000,19675,36 months,RENT,Nov-2011
7000,7000,7000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,MORTGAGE,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
10000,10000,9750,36 months,RENT,Nov-2011
20000,20000,20000,36 months,RENT,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
16000,16000,16000,36 months,RENT,Nov-2011
3400,3400,3400,36 months,MORTGAGE,Nov-2011
6000,6000,6000,36 months,MORTGAGE,Nov-2011
7000,7000,7000,36 months,MORTGAGE,Nov-2011
12000,12000,12000,60 months,OWN,Dec-2011
7875,7875,7875,60 months,RENT,Nov-2011
21000,21000,20975,60 months,MORTGAGE,Dec-2011
17000,17000,16950,36 months,MORTGAGE,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
9500,9500,9500,36 months,MORTGAGE,Nov-2011
16000,16000,16000,60 months,MORTGAGE,Dec-2011
35000,35000,34975,60 months,MORTGAGE,Dec-2011
1200,1200,1200,36 months,RENT,Nov-2011
20000,20000,20000,60 months,OWN,Dec-2011
5000,5000,5000,36 months,RENT,Nov-2011
5400,5400,5400,36 months,RENT,Nov-2011
12000,12000,11950,60 months,RENT,Dec-2011
12775,12775,12775,36 months,MORTGAGE,Nov-2011
5000,5000,5000,36 months,RENT,Nov-2011
15000,15000,15000,60 months,RENT,Dec-2011
15600,15600,15350,36 months,MORTGAGE,Nov-2011
5050,5050,5050,60 months,MORTGAGE,Nov-2011
12000,12000,12000,60 months,RENT,Dec-2011
24000,24000,23975,60 months,MORTGAGE,Dec-2011
25000,25000,24975,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
2400,2400,2400,36 months,RENT,Nov-2011
5825,5825,5825,36 months,RENT,Nov-2011
20000,20000,19725,36 months,RENT,Nov-2011
16000,16000,16000,36 months,RENT,Nov-2011
1500,1500,1500,36 months,MORTGAGE,Nov-2011
12500,12500,12500,36 months,MORTGAGE,Nov-2011
12000,12000,12000,60 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Nov-2011
3500,3500,3500,36 months,MORTGAGE,Nov-2011
4000,4000,4000,36 months,MORTGAGE,Nov-2011
12100,12100,12100,60 months,RENT,Dec-2011
20000,20000,19975,60 months,MORTGAGE,Dec-2011
8500,8500,8500,36 months,MORTGAGE,Nov-2011
15000,15000,15000,36 months,MORTGAGE,Nov-2011
15600,15600,15550,36 months,MORTGAGE,Nov-2011
10000,10000,9750,36 months,MORTGAGE,Nov-2011
2400,2400,2400,36 months,MORTGAGE,Nov-2011
12000,12000,12000,60 months,MORTGAGE,Nov-2011
19000,19000,19000,60 months,MORTGAGE,Dec-2011
8000,8000,8000,60 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Nov-2011
9000,9000,9000,36 months,MORTGAGE,Nov-2011
26375,26375,26375,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,OWN,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
12600,12600,12600,60 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Nov-2011
12800,12800,12800,36 months,RENT,Nov-2011
13000,13000,13000,60 months,MORTGAGE,Dec-2011
8000,8000,8000,36 months,RENT,Nov-2011
6975,6975,6975,36 months,MORTGAGE,Nov-2011
13000,13000,13000,36 months,OWN,Nov-2011
12000,12000,11975,60 months,MORTGAGE,Nov-2011
5000,5000,5000,36 months,RENT,Nov-2011
17000,17000,16500,36 months,MORTGAGE,Nov-2011
12800,12800,12800,36 months,RENT,Nov-2011
1600,1600,1600,36 months,RENT,Nov-2011
1200,1200,1200,36 months,MORTGAGE,Nov-2011
26300,26300,26300,60 months,MORTGAGE,Dec-2011
18800,18800,18775,60 months,RENT,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Nov-2011
28000,28000,28000,36 months,RENT,Nov-2011
3125,3125,3125,60 months,OWN,Nov-2011
20000,20000,20000,36 months,OWN,Nov-2011
20000,20000,19950,60 months,MORTGAGE,Dec-2011
5000,5000,5000,36 months,RENT,Nov-2011
19000,19000,19000,36 months,MORTGAGE,Nov-2011
35000,35000,35000,36 months,OWN,Nov-2011
8000,8000,8000,36 months,RENT,Nov-2011
7200,7200,7200,36 months,RENT,Nov-2011
2400,2400,2400,36 months,RENT,Nov-2011
25000,25000,24975,60 months,MORTGAGE,Dec-2011
24250,24250,24250,36 months,OWN,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
15000,15000,14975,60 months,MORTGAGE,Dec-2011
19200,19200,19175,60 months,RENT,Dec-2011
9500,9500,9250,36 months,MORTGAGE,Nov-2011
20000,20000,19975,60 months,RENT,Dec-2011
9000,9000,9000,36 months,RENT,Nov-2011
16000,16000,15975,36 months,MORTGAGE,Nov-2011
19600,19600,19575,36 months,MORTGAGE,Nov-2011
18800,18800,18775,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Nov-2011
20000,20000,19975,60 months,MORTGAGE,Dec-2011
9750,9750,9750,36 months,RENT,Nov-2011
35000,35000,34987.984522463815,60 months,RENT,Dec-2011
20000,20000,19225,36 months,MORTGAGE,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
8000,8000,8000,36 months,RENT,Nov-2011
28000,28000,27975,60 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,RENT,Nov-2011
16000,16000,16000,36 months,MORTGAGE,Nov-2011
19600,19600,19600,36 months,RENT,Nov-2011
11500,11500,11500,36 months,MORTGAGE,Nov-2011
3000,3000,3000,36 months,RENT,Nov-2011
5000,5000,5000,36 months,RENT,Dec-2011
7000,7000,7000,36 months,MORTGAGE,Nov-2011
23325,23325,23325,36 months,MORTGAGE,Nov-2011
22200,22200,22200,36 months,RENT,Nov-2011
14675,14675,14650,60 months,RENT,Dec-2011
14400,14400,14375,60 months,RENT,Dec-2011
28000,28000,27925,60 months,MORTGAGE,Dec-2011
12000,12000,12000,60 months,MORTGAGE,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Nov-2011
15000,15000,14975,60 months,OWN,Dec-2011
15850,15850,15850,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,MORTGAGE,Nov-2011
1800,1800,1800,36 months,RENT,Nov-2011
3200,3200,3200,60 months,MORTGAGE,Nov-2011
17000,17000,17000,36 months,RENT,Nov-2011
5500,5500,5500,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
11600,11600,11325,60 months,MORTGAGE,Dec-2011
16000,16000,15975,60 months,RENT,Dec-2011
35000,35000,34937.984522463815,60 months,MORTGAGE,Dec-2011
11100,11100,11100,60 months,OWN,Dec-2011
13000,13000,13000,36 months,RENT,Nov-2011
12250,12250,12250,36 months,MORTGAGE,Nov-2011
29100,29100,28800,60 months,RENT,Dec-2011
21600,21600,21550,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Nov-2011
29100,29100,29075,60 months,RENT,Dec-2011
2000,2000,2000,36 months,RENT,Nov-2011
9500,9500,9500,36 months,RENT,Nov-2011
21000,21000,20975,36 months,RENT,Nov-2011
11300,11300,11300,36 months,RENT,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
15800,15800,15775,60 months,MORTGAGE,Dec-2011
18000,18000,18000,36 months,RENT,Nov-2011
6400,6400,6400,36 months,RENT,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
5000,5000,5000,36 months,RENT,Nov-2011
26400,26400,26375,60 months,MORTGAGE,Dec-2011
11300,11300,11300,36 months,MORTGAGE,Dec-2011
14000,14000,14000,36 months,MORTGAGE,Nov-2011
15000,15000,15000,36 months,OWN,Nov-2011
23600,23600,23600,36 months,RENT,Nov-2011
5100,5100,5100,36 months,MORTGAGE,Nov-2011
7500,7500,7500,36 months,MORTGAGE,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
2000,2000,2000,36 months,OWN,Nov-2011
6000,6000,6000,36 months,MORTGAGE,Nov-2011
18000,18000,18000,60 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Nov-2011
24000,24000,23975,60 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
10175,10175,10175,36 months,MORTGAGE,Nov-2011
17000,17000,17000,60 months,RENT,Dec-2011
5600,5600,5600,36 months,MORTGAGE,Nov-2011
20000,20000,20000,60 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Nov-2011
5600,5600,5600,36 months,RENT,Nov-2011
2800,2800,2800,36 months,MORTGAGE,Nov-2011
9600,9600,9600,36 months,MORTGAGE,Nov-2011
24000,24000,23950,36 months,MORTGAGE,Nov-2011
18400,18400,18400,60 months,MORTGAGE,Dec-2011
9000,9000,9000,36 months,MORTGAGE,Nov-2011
30750,30750,30675,60 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Nov-2011
5000,5000,5000,36 months,RENT,Nov-2011
33600,33600,32058.532420173611,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,MORTGAGE,Nov-2011
16800,16800,16800,60 months,MORTGAGE,Dec-2011
16550,16550,16500,60 months,MORTGAGE,Dec-2011
12000,12000,12000,60 months,MORTGAGE,Dec-2011
22000,22000,21975,60 months,MORTGAGE,Dec-2011
10800,10800,10800,36 months,RENT,Nov-2011
7200,7200,7200,36 months,RENT,Nov-2011
10625,10625,10625,36 months,MORTGAGE,Nov-2011
5000,5000,5000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
5000,5000,5000,36 months,RENT,Nov-2011
8400,8400,8400,36 months,MORTGAGE,Nov-2011
25000,25000,25000,60 months,RENT,Dec-2011
24000,24000,24000,60 months,RENT,Dec-2011
4800,4800,4800,36 months,RENT,Nov-2011
14000,14000,14000,36 months,MORTGAGE,Nov-2011
7000,7000,7000,36 months,MORTGAGE,Nov-2011
15000,15000,15000,36 months,RENT,Nov-2011
13000,13000,13000,36 months,RENT,Nov-2011
30000,30000,30000,36 months,MORTGAGE,Dec-2011
6400,6400,6400,36 months,RENT,Nov-2011
5650,5650,5650,36 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Nov-2011
8500,8500,8500,36 months,RENT,Nov-2011
28000,28000,27975,60 months,MORTGAGE,Dec-2011
7000,7000,7000,36 months,RENT,Nov-2011
30000,30000,29997.60697746218,60 months,MORTGAGE,Dec-2011
20000,20000,20000,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,MORTGAGE,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
12500,12500,12500,60 months,MORTGAGE,Dec-2011
15000,15000,14925,60 months,MORTGAGE,Dec-2011
16450,16450,16450,60 months,RENT,Dec-2011
2500,2500,2500,36 months,RENT,Nov-2011
6200,6200,6200,36 months,OWN,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
4800,4800,4800,36 months,OWN,Nov-2011
17050,17050,17050,36 months,MORTGAGE,Nov-2011
15000,15000,14975,60 months,MORTGAGE,Dec-2011
12700,12700,12700,36 months,RENT,Nov-2011
35000,35000,34975,60 months,MORTGAGE,Dec-2011
12000,12000,12000,60 months,MORTGAGE,Dec-2011
15000,15000,14975,60 months,RENT,Dec-2011
24000,24000,23925,60 months,RENT,Dec-2011
35000,35000,34972.503934150628,60 months,MORTGAGE,Dec-2011
11200,11200,11200,36 months,RENT,Nov-2011
7000,7000,7000,36 months,RENT,Nov-2011
6200,6200,6200,60 months,RENT,Nov-2011
20000,20000,19950,60 months,MORTGAGE,Dec-2011
35000,35000,34963.578871994206,60 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Nov-2011
8500,8500,8475,60 months,RENT,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
12000,12000,11975,60 months,RENT,Dec-2011
20000,20000,20000,60 months,RENT,Dec-2011
10400,10400,10400,36 months,RENT,Nov-2011
5000,5000,5000,36 months,RENT,Nov-2011
8400,8400,8400,36 months,RENT,Nov-2011
24000,24000,24000,60 months,MORTGAGE,Dec-2011
20000,20000,20000,36 months,RENT,Nov-2011
12300,12300,12275,60 months,MORTGAGE,Dec-2011
11000,11000,11000,36 months,RENT,Nov-2011
18950,18950,18950,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Nov-2011
20000,20000,19950,36 months,OWN,Nov-2011
3650,3650,3650,60 months,RENT,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
7200,7200,7200,36 months,RENT,Nov-2011
33950,33950,33925,36 months,MORTGAGE,Nov-2011
13000,13000,13000,60 months,MORTGAGE,Dec-2011
12600,12600,12600,60 months,RENT,Dec-2011
15000,15000,15000,36 months,RENT,Nov-2011
4250,4250,4250,36 months,RENT,Nov-2011
7000,7000,6750,36 months,RENT,Nov-2011
1500,1500,1500,36 months,MORTGAGE,Nov-2011
25000,25000,24950,36 months,MORTGAGE,Nov-2011
15600,15600,15600,60 months,RENT,Dec-2011
21000,21000,21000,60 months,RENT,Dec-2011
20000,20000,20000,60 months,RENT,Dec-2011
20000,20000,19750,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
5800,5800,5800,60 months,MORTGAGE,Nov-2011
2400,2400,2400,36 months,RENT,Nov-2011
28100,28100,28097.151209140474,60 months,RENT,Dec-2011
4500,4500,4500,36 months,MORTGAGE,Nov-2011
4800,4800,4800,36 months,RENT,Nov-2011
5000,5000,5000,36 months,MORTGAGE,Nov-2011
18000,18000,17750,36 months,RENT,Nov-2011
25000,25000,24125,36 months,MORTGAGE,Nov-2011
18000,18000,18000,36 months,MORTGAGE,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
35000,35000,34963.08012371947,60 months,RENT,Dec-2011
27000,27000,27000,36 months,RENT,Nov-2011
3000,3000,2750,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
10125,10125,10125,36 months,RENT,Nov-2011
8000,8000,7750,36 months,MORTGAGE,Nov-2011
10000,10000,9750,36 months,RENT,Nov-2011
35000,35000,34922.829501606424,60 months,RENT,Dec-2011
21600,21600,21575,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Nov-2011
6000,6000,6000,36 months,RENT,Nov-2011
14000,14000,14000,36 months,OWN,Nov-2011
8000,8000,8000,36 months,RENT,Nov-2011
14000,14000,14000,60 months,RENT,Dec-2011
8000,8000,8000,36 months,MORTGAGE,Nov-2011
21000,21000,21000,36 months,RENT,Dec-2011
22000,22000,21475,60 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,RENT,Nov-2011
15000,15000,15000,36 months,RENT,Nov-2011
5200,5200,5200,36 months,RENT,Nov-2011
17500,17500,17500,36 months,MORTGAGE,Dec-2011
6400,6400,6400,36 months,RENT,Nov-2011
3825,3825,3825,36 months,MORTGAGE,Nov-2011
21000,21000,21000,36 months,OWN,Nov-2011
14000,14000,14000,36 months,MORTGAGE,Nov-2011
18950,18950,18925,36 months,RENT,Nov-2011
3000,3000,2750,36 months,OWN,Nov-2011
2400,2400,2400,36 months,OWN,Nov-2011
6000,6000,6000,36 months,OWN,Nov-2011
16000,16000,15975,60 months,MORTGAGE,Dec-2011
18000,18000,18000,36 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
2125,2125,2125,36 months,RENT,Nov-2011
7500,7500,7500,36 months,RENT,Nov-2011
10000,10000,10000,36 months,MORTGAGE,Nov-2011
21000,21000,20975,60 months,MORTGAGE,Dec-2011
25000,25000,25000,36 months,RENT,Nov-2011
16000,16000,16000,36 months,RENT,Dec-2011
20000,20000,20000,36 months,MORTGAGE,Dec-2011
3600,3600,3600,36 months,RENT,Nov-2011
20000,20000,19950,60 months,RENT,Dec-2011
24000,24000,23725,60 months,RENT,Dec-2011
19075,19075,19050,60 months,RENT,Dec-2011
10000,10000,10000,60 months,RENT,Nov-2011
8000,8000,7950,36 months,RENT,Nov-2011
1000,1000,1000,36 months,RENT,Nov-2011
4000,4000,4000,36 months,MORTGAGE,Nov-2011
18800,18800,18750,60 months,RENT,Dec-2011
14000,14000,14000,36 months,RENT,Nov-2011
15000,15000,14975,60 months,RENT,Dec-2011
16775,16775,16775,36 months,MORTGAGE,Nov-2011
6325,6325,6275,36 months,RENT,Nov-2011
5700,5700,5700,60 months,RENT,Nov-2011
13225,13225,13225,36 months,RENT,Nov-2011
10000,10000,9950,36 months,RENT,Nov-2011
13500,13500,13200,36 months,RENT,Nov-2011
12000,12000,11750,60 months,OWN,Dec-2011
15000,15000,14925,60 months,MORTGAGE,Nov-2011
20200,20200,20172.631478280908,60 months,RENT,Dec-2011
20000,20000,20000,36 months,RENT,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
25975,25975,25937.984535259408,60 months,MORTGAGE,Dec-2011
10600,10600,10550,60 months,MORTGAGE,Nov-2011
13475,13475,13425,36 months,RENT,Nov-2011
4000,4000,4000,36 months,RENT,Nov-2011
5000,5000,5000,60 months,MORTGAGE,Nov-2011
7500,7500,7500,36 months,OWN,Nov-2011
21000,21000,20975,60 months,MORTGAGE,Dec-2011
9600,9600,9575,60 months,RENT,Nov-2011
10000,10000,10000,36 months,RENT,Dec-2011
3725,3725,3725,36 months,MORTGAGE,Nov-2011
19425,19425,19400,60 months,MORTGAGE,Dec-2011
25900,25900,25847.312429936455,60 months,RENT,Dec-2011
30000,30000,29937.866478378311,60 months,MORTGAGE,Dec-2011
13000,13000,13000,60 months,RENT,Dec-2011
15600,15600,15600,60 months,OWN,Dec-2011
20000,20000,19975,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Nov-2011
8000,8000,3975,36 months,RENT,Nov-2011
12000,12000,12000,60 months,RENT,Nov-2011
12000,12000,11700,36 months,MORTGAGE,Nov-2011
4000,4000,3700,36 months,RENT,Nov-2011
9750,9750,9750,60 months,RENT,Dec-2011
24000,24000,23925,36 months,MORTGAGE,Nov-2011
35000,35000,34947.537289240155,60 months,MORTGAGE,Dec-2011
3125,3125,3075,60 months,MORTGAGE,Nov-2011
12000,12000,11750,36 months,MORTGAGE,Nov-2011
17500,17500,17500,36 months,OWN,Nov-2011
6000,6000,6000,36 months,MORTGAGE,Nov-2011
15000,15000,14750,60 months,MORTGAGE,Dec-2011
8000,8000,8000,60 months,RENT,Nov-2011
28000,28000,27972.449831485875,60 months,RENT,Dec-2011
30000,30000,29925,36 months,RENT,Nov-2011
28000,28000,27997.420647240136,60 months,MORTGAGE,Dec-2011
1000,1000,1000,36 months,RENT,Nov-2011
23800,23800,23800,36 months,MORTGAGE,Nov-2011
17000,17000,17000,36 months,MORTGAGE,Nov-2011
18000,18000,17975,60 months,RENT,Dec-2011
13500,13500,13500,60 months,MORTGAGE,Dec-2011
24000,24000,23750,36 months,MORTGAGE,Nov-2011
3600,3600,3600,36 months,RENT,Nov-2011
15000,15000,15000,36 months,MORTGAGE,Nov-2011
1000,1000,1000,36 months,MORTGAGE,Nov-2011
30000,30000,29750.004848453775,60 months,RENT,Dec-2011
3600,3600,3600,36 months,RENT,Nov-2011
15500,15500,15225,60 months,MORTGAGE,Dec-2011
14000,14000,14000,36 months,RENT,Nov-2011
6400,6400,6350,36 months,RENT,Nov-2011
3600,3600,3600,36 months,MORTGAGE,Nov-2011
14000,14000,13975,36 months,RENT,Nov-2011
4025,4025,3950,36 months,RENT,Nov-2011
15000,15000,15000,60 months,RENT,Dec-2011
2600,2600,2600,36 months,RENT,Dec-2011
16500,16500,16407.204552992863,36 months,OWN,Nov-2011
15000,15000,15000,60 months,MORTGAGE,Dec-2011
8875,8875,8800,36 months,RENT,Nov-2011
30000,30000,29972.44986378174,60 months,OWN,Dec-2011
23000,23000,23000,60 months,MORTGAGE,Dec-2011
3825,3825,3775,36 months,OWN,Nov-2011
11100,11100,11100,36 months,MORTGAGE,Nov-2011
12000,12000,12000,36 months,RENT,Nov-2011
8900,8900,8850,60 months,OWN,Nov-2011
12000,12000,11950,60 months,MORTGAGE,Nov-2011
3000,3000,2900,36 months,RENT,Nov-2011
5600,5600,5600,36 months,RENT,Nov-2011
12000,12000,11750,60 months,RENT,Nov-2011
12000,12000,11950,36 months,RENT,Nov-2011
25000,25000,24975,60 months,MORTGAGE,Dec-2011
12000,12000,11925,36 months,MORTGAGE,Nov-2011
35000,35000,33918.944669144856,60 months,MORTGAGE,Dec-2011
30000,30000,29972.151221406382,60 months,MORTGAGE,Dec-2011
10000,10000,9950,36 months,RENT,Nov-2011
21600,21600,21572.565817878725,60 months,OWN,Nov-2011
8000,8000,8000,36 months,RENT,Nov-2011
6000,6000,5700,36 months,RENT,Nov-2011
15000,15000,15000,60 months,RENT,Nov-2011
35000,35000,33304.821835549214,60 months,RENT,Nov-2011
14400,14400,14375,60 months,RENT,Nov-2011
10500,10500,10250,36 months,RENT,Nov-2011
9000,9000,9000,36 months,RENT,Nov-2011
10900,10900,10900,36 months,RENT,Nov-2011
17600,17600,17600,36 months,OWN,Nov-2011
1800,1800,1800,36 months,RENT,Nov-2011
14000,14000,13975,60 months,MORTGAGE,Nov-2011
10000,10000,9925,36 months,OWN,Dec-2011
6000,6000,5750,36 months,RENT,Nov-2011
5200,5200,5200,60 months,RENT,Nov-2011
6500,6500,6325,36 months,MORTGAGE,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
8000,8000,8000,36 months,MORTGAGE,Nov-2011
2800,2800,2800,36 months,RENT,Nov-2011
35000,35000,34972.352447395792,60 months,RENT,Nov-2011
12000,12000,12000,60 months,MORTGAGE,Nov-2011
11200,11200,11100,36 months,RENT,Nov-2011
8000,8000,8000,36 months,RENT,Nov-2011
14825,14825,14825,60 months,RENT,Nov-2011
6100,6100,6100,36 months,OWN,Nov-2011
17000,17000,16950,36 months,RENT,Nov-2011
16000,16000,16000,60 months,MORTGAGE,Nov-2011
1500,1500,1500,36 months,MORTGAGE,Nov-2011
6500,6500,6500,36 months,RENT,Nov-2011
5500,5500,5500,60 months,MORTGAGE,Nov-2011
10000,10000,10000,36 months,MORTGAGE,Nov-2011
7125,7125,7050,36 months,MORTGAGE,Nov-2011
14000,14000,14000,60 months,RENT,Nov-2011
11000,11000,10950,36 months,RENT,Nov-2011
3000,3000,3000,36 months,MORTGAGE,Dec-2011
15850,15850,15825,60 months,MORTGAGE,Nov-2011
12000,12000,12000,60 months,MORTGAGE,Dec-2011
29700,29700,29650,60 months,MORTGAGE,Nov-2011
6500,6500,6425,36 months,RENT,Nov-2011
2800,2800,2800,36 months,MORTGAGE,Nov-2011
10000,10000,10000,36 months,RENT,Nov-2011
30000,30000,29975,60 months,MORTGAGE,Nov-2011
8000,8000,8000,36 months,MORTGAGE,Nov-2011
12000,12000,11975,60 months,RENT,Nov-2011
35000,35000,34975,60 months,MORTGAGE,Nov-2011
30000,30000,29683.591748297604,60 months,OWN,Nov-2011
9000,9000,9000,36 months,RENT,Nov-2011
3000,3000,3000,36 months,RENT,Nov-2011
7925,7925,7925,36 months,RENT,Nov-2011
18000,18000,17900,60 months,RENT,Nov-2011
24575,24575,24550,60 months,RENT,Nov-2011
15000,15000,14975,60 months,RENT,Nov-2011
15000,15000,14950,60 months,RENT,Nov-2011
12000,12000,12000,36 months,MORTGAGE,Nov-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
6400,6400,6400,36 months,RENT,Nov-2011
14125,14125,14100,60 months,RENT,Nov-2011
4000,4000,4000,36 months,MORTGAGE,Nov-2011
35000,35000,35000,60 months,MORTGAGE,Dec-2011
14950,14950,14900,36 months,MORTGAGE,Nov-2011
16000,16000,15900,36 months,RENT,Nov-2011
2500,2500,2500,36 months,MORTGAGE,Nov-2011
12000,12000,12000,60 months,RENT,Nov-2011
15000,15000,15000,36 months,MORTGAGE,Nov-2011
1000,1000,1000,36 months,OWN,Nov-2011
1200,1200,1200,36 months,MORTGAGE,Nov-2011
16000,16000,16000,36 months,RENT,Nov-2011
4000,4000,4000,36 months,OWN,Nov-2011
9450,9450,9425,60 months,MORTGAGE,Nov-2011
17000,17000,17000,36 months,OWN,Nov-2011
13600,13600,13600,60 months,RENT,Nov-2011
7200,7200,7200,36 months,MORTGAGE,Nov-2011
17475,17475,17475,36 months,RENT,Nov-2011
16000,16000,16000,36 months,MORTGAGE,Nov-2011
